number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,model,params_min_child_samples,params_reg_alpha,params_reg_lambda,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_random_strength,params_C,params_penalty,params_threshold
5,0.7034323771954633,2026-01-10 16:04:28.433047,2026-01-10 16:05:34.633017,0 days 00:01:06.199970,,,0.012476394272569451,,,,,COMPLETE,catboost,,,,9.656320330745594,4.0,202.0,3.4671276804481113,8.08397348116461,,,
6,0.6954465187208919,2026-01-10 16:05:34.635018,2026-01-10 16:06:17.210307,0 days 00:00:42.575289,,,0.1024932221692416,,,,,COMPLETE,catboost,,,,1.2203823484477883,3.0,126.0,9.148975058772307e-05,4.951769101112702,,,
7,0.7087122123504189,2026-01-10 16:06:17.214315,2026-01-10 16:07:39.070215,0 days 00:01:21.855900,,,0.024112898115291985,,,,,COMPLETE,catboost,,,,3.1171107608941098,10.0,58.0,0.009176996354542699,5.200680211778108,,,
8,0.686404070636062,2026-01-10 16:07:39.072213,2026-01-10 16:08:38.374710,0 days 00:00:59.302497,,,0.27051668818999286,,,,,COMPLETE,catboost,,,,9.394989415641891,4.0,187.0,0.09466630153726856,8.948273504276488,,,
9,0.70712029236805,2026-01-10 16:08:38.376715,2026-01-10 16:11:07.683897,0 days 00:02:29.307182,,,0.01351182947645082,,,,,COMPLETE,catboost,,,,0.45227288910538066,10.0,200.0,5.805581976088804e-07,3.2533033076326436,,,
10,0.7062227863311521,2026-01-10 16:11:07.685899,2026-01-10 16:11:34.287126,0 days 00:00:26.601227,,,0.03504750508385009,,,,,COMPLETE,catboost,,,,6.108070272517471,7.0,55.0,1.3232991168593193e-05,6.902470735691452,,,
11,0.6957986591989057,2026-01-10 16:11:34.289130,2026-01-10 16:13:14.044843,0 days 00:01:39.755713,,,0.03460050240315658,,,,,COMPLETE,catboost,,,,3.8548446235961857,7.0,260.0,1.1749157360726878e-08,2.9608721318793285,,,
12,0.7060677224999422,2026-01-10 16:13:14.046844,2026-01-10 16:14:35.921546,0 days 00:01:21.874702,,,0.01076799124981991,,,,,COMPLETE,catboost,,,,0.20066827871109716,10.0,105.0,6.85127064028479e-06,5.916836359300596,,,
13,0.6987882038877985,2026-01-10 16:14:35.922558,2026-01-10 16:16:14.621385,0 days 00:01:38.698827,,,0.030309434409163227,,,,,COMPLETE,catboost,,,,4.687052188878422,8.0,222.0,0.6457288433886468,3.343353437228526,,,
14,0.6984107354647859,2026-01-10 16:16:14.623375,2026-01-10 16:18:46.058792,0 days 00:02:31.435417,,,0.02011372030270345,,,,,COMPLETE,catboost,,,,1.8753263143336731,9.0,288.0,0.006355516112235989,1.783043335666359,,,
15,0.7025945706367388,2026-01-10 16:18:46.060788,2026-01-10 16:20:10.846253,0 days 00:01:24.785465,,,0.04587629231624051,,,,,COMPLETE,catboost,,,,7.389356331291417,10.0,110.0,1.492775149980716e-06,4.375792932722695,,,
16,0.7046391365183998,2026-01-10 16:20:10.849109,2026-01-10 16:21:33.628619,0 days 00:01:22.779510,,,0.014180718565925642,,,,,COMPLETE,catboost,,,,2.6674581768573837,6.0,233.0,1.0774238473373085e-08,6.641224974108146,,,
17,0.708151815759206,2026-01-10 16:21:33.630630,2026-01-10 16:22:10.603435,0 days 00:00:36.972805,,,0.02146017410157861,,,,,COMPLETE,catboost,,,,4.105115740908199,8.0,74.0,0.000306471092128823,2.2608586618565507,,,
18,0.7072229895087764,2026-01-10 16:22:10.605439,2026-01-10 16:22:50.930176,0 days 00:00:40.324737,,,0.02537271402735126,,,,,COMPLETE,catboost,,,,4.377111067281956,8.0,82.0,0.0002714575205272738,1.9825942180995644,,,
19,0.6962635692266362,2026-01-10 16:22:50.933184,2026-01-10 16:23:33.415546,0 days 00:00:42.482362,,,0.05161137619909407,,,,,COMPLETE,catboost,,,,5.625128570253415,8.0,88.0,0.15536321335945028,0.26527476852447096,,,
